index,Date,Time,URL,Hit Sentence,Influencer,Country,Language,Reach,Engagement,AVE,Sentiment,Key Phrases,Input Name,Keywords,Twitter Authority,Tweet Id,Twitter Id,Twitter Client,Twitter Screen Name,User Profile Url,Twitter Bio,Twitter Followers,Twitter Following,Alternate Date Format,Time,State,City,Views,Likes,Replies,Retweets,Shares,Reactions,Threads,Is Verified,Parent URL
919,20-Apr-23,06:30AM,http://twitter.com/mmpadellan/statuses/1648997438651523073," @marcorubio: LMAO ""They gotta get this thing fixed"" THEY are too busy touring the country on a book tour, banning books and abortion rights, fighting with Disney World, and saying ""woke"" a gazillion times. If only Marco Rubio knew a Senator... ; FOUR DAYS and they still can’t figure out how to get enough gasoline to South #Florida #GasShortage   /P3jdQG6M5r",@mmpadellan,United States,English,1223788,3591,11320.04,Negative,"book tour,books and abortion rights,country",(book OR books) NEAR (ban OR banned OR banning OR ban,"book,banning,books",10,"""1648997438651523073""","""1640929196""",Twitter Web App,BrooklynDad_Defiant!☮️,http://www.twitter.com/mmpadellan,"Proud papa. Perpetually pissed. #BlueWave2024, #Feminist. Author of The Liddle'est President. 👉Sr. Advisor, @ReallyAmerican1👈👀",1223788,43676,20-Apr-23,6:30 AM,New York,Brooklyn,109730,2738,198,627,655,2738,198,TRUE, //twitter.com/marcorubio/statuses/1648830631776772096
1022,11-Apr-23,06:58PM,http://twitter.com/AnonOpsSE/statuses/1645924249935200257,Republicans in the Missouri on Tuesday voted to strip all public libraries of their funding due to a lawsuit by the ACLU challenging the states ban on books. Knowledge is power and the GOP do not want an educated public they want an obedient public #Anonymous #OpGOP Fight Back   /CINXiDNNqI,@AnonOpsSE,Unknown,English,508917,2856,4707.48,Negative,"books,educated public,funding,obedient public,power,public libraries,states ban",(book OR books) NEAR (ban OR banned OR banning OR ban,"ban,books",10,"""1645924249935200257""","""1009546724""",TweetDeck,Anonymous Operations,http://www.twitter.com/AnonOpsSE,AoS 2.0 - Tweeting news concerning #Anonymous and everything of importance.,508917,167,11-Apr-23,6:58 PM,,,65687,1964,72,778,820,1964,72,FALSE,
1179,11-Apr-23,08:01PM,http://twitter.com/KevinMKruse/statuses/1645940217306554373," @Phil_Lewis_: How long until they ban book learnin’? ; ""Missouri House Republicans voted to defund all of the state’s public libraries, in a proposed $45.6 billion state budget that will soon move to a vote in the GOP-controlled state Senate""   /1KyEcpKZgC",@KevinMKruse,United States,English,485726,2842,4492.97,Negative,"ban book,proposed,public libraries",(book OR books) NEAR (ban OR banned OR banning OR ban,"ban,book",10,"""1645940217306554373""","""3060489838""",Twitter for iPhone,Kevin M. Kruse,http://www.twitter.com/KevinMKruse,Historian: White Flight; New Suburban History; Fog of War; One Nation Under God; Fault Lines; Voter Suppression; Myth America:  //bit.ly/34mlRgw,485726,2565,11-Apr-23,8:01 PM,New Jersey,Princeton,134963,2421,99,322,322,2421,99,TRUE, //twitter.com/Phil_Lewis_/statuses/1645925612610002944
1190,6-Apr-23,10:25AM,http://twitter.com/tedlieu/statuses/1643983341547569154," @highbrow_nobrow: Democrats support libraries. MAGA Republicans want to defund libraries and ban books that make you feel “uncomfortable.” Democrats have won, and will continue to win, the culture war. Because most Americans don’t want to be ignorant or for their kids to be kept ignorant. ; The Missouri House of Representatives voted for a state operating budget with a $0 line for public libraries.   /t7fvSvKzPr",@tedlieu,United States,English,1655986,2611,15317.87,Negative,"culture war,kids,libraries and ban books,line,public libraries",(book OR books) NEAR (ban OR banned OR banning OR ban,"ban,books",10,"""1643983341547569154""","""21059255""",Twitter for iPhone,Ted Lieu,http://www.twitter.com/tedlieu,"Husband of Betty, the love of my life. Father of two great kids. USAF veteran. Member of Congress. In that order. Also, empathy is good.",1655986,11219,6-Apr-23,10:25 AM,California,,90198,1918,185,495,508,1918,185,TRUE, //twitter.com/highbrow_nobrow/statuses/1643974992651255814
1222,12-Apr-23,08:45AM,http://twitter.com/DrIbram/statuses/1646132443185815552,"After being sued by Missouri librarians for banning library books, Missouri House Republicans voted to defund all of the state’s public libraries. Their budget also cuts funding for diversity initiatives, childcare, and pre-kindergarten programs.   /3y7G27Nqju",@DrIbram,United States,English,419716,2228,3882.37,Negative,"budget,funding for diversity,initiatives,library books,pre-kindergarten programs,public libraries",(book OR books) NEAR (ban OR banned OR banning OR ban,"banning,books",10,"""1646132443185815552""","""474154291""",Twitter for iPhone,Ibram X. Kendi,http://www.twitter.com/DrIbram,Partner • #GirlDad • Scholar • BU Prof • Dir @AntiracismCtr • @NationalBook Award Winner • #1 NYT Bestselling Author • MacArthur Fellow • Surviving Cancer 🐍,419716,1572,12-Apr-23,8:45 AM,Massachusetts,Boston,247424,1309,112,807,807,1309,112,TRUE,
1333,19-Jun-23,10:07AM, //twitter.com/byleahjohnson/statuses/1670795343313739777,"This has been one of the worst years in history for book banning, but they can’t ban us or our stories. Which is why I’m so excited to announce that IM OPENING A FREAKING BOOKSTORE!!!! @loudmouthindy will Indy’s only banned bookstore and I’m so excited to bring it to life 😭😭😭   /i7b6sTfAoH",@byleahjohnson,Unknown,English,23746,2296,219.65,Negative,"FREAKING BOOKSTORE,history for book,stories",(book OR books) NEAR (ban OR banned OR banning OR ban,"book,banning",9,"""1670795343313739777""","""271737781""",Twitter for iPhone,Leah Johnson, //twitter.com/byleahjohnson,Writer. Midwesterner. Owner @LoudmouthIndy. MG: ELLIE ENGLE SAVES HERSELF (out now!). YA: YOU SHOULD SEE ME IN A CROWN + RISE TO THE SUN.,23746,1963,19-Jun-23,10:07 AM,,,127657,1726,93,477,477,1726,93,FALSE,
1380,18-Sep-23,08:10AM,http://twitter.com/piper4missouri/statuses/1703743352137556395,"The MO GOP has held a supermajority for 20 years. What’s their legacy? Struggling towns, crumbling roads, 4-day school weeks, hospital closures, abortion bans, trans healthcare bans, and book bans. What are they doing instead of governing? Burning the “woke agenda” in effigy…   /coBpOwjNt6",@piper4missouri,United States,English,118651,2668,1097.52,Negative,"abortion,agenda,book bans,hospital closures,legacy,roads,supermajority,towns,trans healthcare",(book OR books) NEAR (ban OR banned OR banning OR ban,"bans,book",10,"""1703743352137556395""","""1332809596885405702""",Twitter for iPhone,Jess Piper,http://www.twitter.com/piper4missouri,"Executive Director for Blue Missouri. Former nominee for State Rep, ‘22. Rural mom fighting for public schools. Host of “Dirt Road Democrat”",118651,2800,18-Sep-23,8:10 AM,Missouri,,62263,1842,110,679,716,1842,110,FALSE,
1511,23-Mar-23,11:01AM,http://twitter.com/PeterforMO/statuses/1638919009461469184,"Republicans punishing anyone for asserting their 1A rights is appalling enough, but punishing all Missourians by defunding public libraries simply because some librarians have sued the state over a book ban is something I’d only expect to see in 1984 or Fahrenheit 451.",@PeterforMO,Unknown,English,9631,1928,89.09,Negative,"Missourians by defunding public libraries,book ban,librarians,rights",(book OR books) NEAR (ban OR banned OR banning OR ban,"book,ban",8,"""1638919009461469184""","""3401539523""",Twitter for iPhone,Rep. Peter Merideth,http://www.twitter.com/PeterforMO,"Community attorney, neighborhood organizer, singer, husband and father, and current MO State Rep. for District 80!",9631,221,23-Mar-23,11:01 AM,,,47469,1401,34,469,493,1401,34,TRUE,
1530,12-Apr-23,03:25PM,http://twitter.com/Stonekettle/statuses/1646233110860660761,Republicans OPENLY said the move was in retaliation for a lawsuit filed by the ACLU. That lawsuit seeks to have declared as unconstitutional recent legislation by Missouri Republicans banning over 300 books from school libraries. 3/,@Stonekettle,United States,English,217165,2127,2008.78,Negative,"books,lawsuit filed,move,retaliation,school libraries,unconstitutional recent legislation",(book OR books) NEAR (ban OR banned OR banning OR ban,"banning,books",10,"""1646233110860660761""","""41223126""",Twitter Web App,Stonekettle,http://www.twitter.com/Stonekettle,Coffee FIRST. Plug in the cat. Read the daily hatemail. Despair for the future of humanity. Buy Whiskey,217165,2093,12-Apr-23,3:25 PM,Texas,Venus,34224,1857,3,262,267,1857,3,FALSE,http://twitter.com/Stonekettle/statuses/1646233109518598146
1560,18-Apr-23,08:09AM,http://twitter.com/piper4missouri/statuses/1648297727158104073,"Missouri Republicans have stripped us of life, liberty, and the pursuit of happiness. Instead we get abortion and book bans. We get defunded roads and schools. We get constant attacks on our LGBTQ friends. We have lost our natural rights in Missouri. They replaced them with guns.",@piper4missouri,United States,English,95697,1897,885.2,Negative,"LGBTQ friends,abortion and book bans,constant attacks,guns,liberty,life,natural rights,pursuit of happiness,roads and schools",(book OR books) NEAR (ban OR banned OR banning OR ban,"book,bans",10,"""1648297727158104073""","""1332809596885405702""",Twitter for iPhone,Jess Piper,http://www.twitter.com/piper4missouri,"Executive Director for Blue Missouri. Nominee for State Rep, ‘22. Rural mom fighting for public schools. Podcaster. #DirtRoadDemocrat",95697,2341,18-Apr-23,8:09 AM,Missouri,,25845,1370,81,446,446,1370,81,TRUE,
1664,24-Feb-23,04:53PM,http://twitter.com/EdKrassen/statuses/1629237994661052418,IMPORTANT: Book banning is beginning to become a huge problem in Florida. Teachers are literally getting fired for posting videos of empty school library book shelves on social media. Today @krassenstein and I interviewed fired teacher Brian Covey   /FBzKORX7by…,@EdKrassen,United States,English,835039,1719,7724.11,Negative,"huge problem,social media,videos",(book OR books) NEAR (ban OR banned OR banning OR ban,"Book,banning",10,"""1629237994661052418""","""132339474""",Twitter Web App,Ed Krassenstein,http://www.twitter.com/EdKrassen,Living in reality. Host of ‘Morning Tweeps’ Twitter Spaces. Follow my twin: @Krassenstein. Web3 futurist. Subscribe on YouTube:  //youtube.com/@KrassenCast,835039,609434,24-Feb-23,4:53 PM,Florida,Fort Myers,75961,1044,227,448,448,1044,227,FALSE,
1703,25-Mar-23,01:16PM,http://twitter.com/piper4missouri/statuses/1639677612019646467," @DougRicheyMO: Cody Smith zeroed out the budget for Missouri libraries because he’s pissed librarians stood up to book bans. He also cut the childcare budget saying we are “awash in funds.” Respect? Nah… ; Tremendous respect for @cody4mo…The amount of time and focus he commits to shepherding MO’s budget is known by very few. Mo taxpayers are well served by his hawkish budget eye…Here he is at nearly 1am, following over 12 hours of budget mark-up.   /yI7X6eeShR",@piper4missouri,United States,English,90812,1658,840.01,Negative,"MO’s budget,Tremendous respect,bans,childcare budget,funds,hawkish budget eye,out the budget,pissed librarians,taxpayers",(book OR books) NEAR (ban OR banned OR banning OR ban,"book,bans",10,"""1639677612019646467""","""1332809596885405702""",Twitter for iPhone,Jess Piper,http://www.twitter.com/piper4missouri,Executive Director for Blue Missouri. Former Nominee for State Rep in MOHD1. Rural mom fighting for public schools. Podcaster. #DirtRoadDemocrat,90812,2246,25-Mar-23,1:16 PM,Missouri,,42727,1176,31,451,451,1176,31,TRUE, //twitter.com/DougRicheyMO/statuses/1639659968365207555
1746,11-Mar-23,07:51PM,http://twitter.com/LqLana/statuses/1634718612320600065,"Ron DeSantis claims there have been no ""book bans,"" but there are books that he is having removed because, in his view, they don't belong in schools due to their content. I’m sorry, isn’t that the very definition of a book ban and the very definition of a fascist? #FreshResists   /kRICPiM2Oq",@LqLana,United States,English,35994,1497,332.94,Negative,"book,content,definition,schools,view",(book OR books) NEAR (ban OR banned OR banning OR ban,"book,bans,ban",9,"""1634718612320600065""","""1514803698""",Twitter for iPhone,LanaQuest aka RosaSparks,http://www.twitter.com/LqLana,Host of YouTube’s The Quest Show - highlighting Dem candidates & news that matters #TheQuestShow Blogger for http://FreshActionNow.Com #FreshResists,35994,31911,11-Mar-23,7:51 PM,,,17367,888,82,504,527,888,82,FALSE,
1767,21-Jun-23,02:16PM,http://twitter.com/piper4missouri/statuses/1671582962096250880,"66 Missouri State Rep candidates didn’t even have a job interview before they started writing bills to take away bodily autonomy, ban books and curriculum, and defund our public schools. We fight back by being present in 163 districts. Join the movement!   /L2Oh16Yran",@piper4missouri,United States,English,109077,1651,1008.96,Negative,"away bodily autonomy,ban books and curriculum,bills to take,districts,job interview,movement,present,public schools",(book OR books) NEAR (ban OR banned OR banning OR ban,"ban,books",10,"""1671582962096250880""","""1332809596885405702""",Twitter for iPhone,Jess Piper,http://www.twitter.com/piper4missouri,"Executive Director for Blue Missouri. Nominee for State Rep, ‘22. Rural mom fighting for public schools. Host of “Dirt Road Democrat”",109077,2562,21-Jun-23,2:16 PM,Missouri,,15600,1284,17,350,350,1284,17,FALSE,
1816,3-Sep-23,04:48PM,http://twitter.com/piper4missouri/statuses/1698437946003554549," @lesliejones4mo: Follow this AMAZING MO candidate. She has less than 100 followers. Can we get her to 1000 tonight? ; 40% of MO state races went uncontested last year. We gave these seats away to republicans who are stripping people of their healthcare rights, banning books, voting to defund our libraries and making our state less safe with the erosion of common sense gun safety laws   /xcE0oxY5KI",@piper4missouri,United States,English,117865,1931,1090.25,Positive,"amazing mo candidate,books,common sense gun safety laws,healthcare rights,less than 100 followers,libraries,seats,tonight",(book OR books) NEAR (ban OR banned OR banning OR ban,"banning,books",10,"""1698437946003554549""","""1332809596885405702""",Twitter for iPhone,Jess Piper,http://www.twitter.com/piper4missouri,"Executive Director for Blue Missouri. Former nominee for State Rep, ‘22. Rural mom fighting for public schools. Host of “Dirt Road Democrat”",117865,2758,3-Sep-23,4:48 PM,Missouri,,51035,1252,55,624,624,1252,55,FALSE, //twitter.com/lesliejones4mo/statuses/1692975154945528295
1830,19-Jun-23,10:55PM,http://twitter.com/TheTNHoller/statuses/1670988641550622721,"⚡️ 📚 TONIGHT IN WILLIAMSON COUNTY: 2 book ban attempts were DEFEATED 🎉, with most @WCSedu members voting to KEEP them on the shelves in opposition to the Moms (Against) Liberty-backed members. (H/T @WilliamsonStrg)   /MmOKX3VCSP",@TheTNHoller,United States,English,186880,1600,1728.64,Negative,"TONIGHT,backed members,book ban attempts",(book OR books) NEAR (ban OR banned OR banning OR ban,"book,ban",10,"""1670988641550622721""","""1088862056705593344""",Twitter for iPhone,The Tennessee Holler,http://www.twitter.com/TheTNHoller,ALWAYS YELL THE TRUTH. Lifting up voices and shining a light on injustices in Tennessee. (DM with story tips!) CASH APP $TNHoller or CHIP IN at the link👇🏽,186880,127559,19-Jun-23,10:55 PM,Tennessee,Tennessee Ridge,79477,1269,24,307,307,1269,24,TRUE,
1943,19-May-23,09:00AM,http://twitter.com/Greeble214/statuses/1659544613462458369,"LGBTQ book ban proponent faces felony child molestation charge in Missouri. MAGA Ryan Utterback, a 29-year-old from Kansas City is a pedophile. Not a drag queen.   /UieDnbllNn",@Greeble214,United States,English,9001,1274,83.26,Negative,"LGBTQ book ban proponent,drag queen,felony child molestation charge",(book OR books) NEAR (ban OR banned OR banning OR ban,"book,ban",7,"""1659544613462458369""","""823979177900736512""",Twitter for iPhone,Elon Musk is Goverment Funded,http://www.twitter.com/Greeble214,"Scientist, progressive, ally, democrat, wokeaholic #ScientistsResist #Indivisible #UniteBlue #BlackLivesMatter #PostCardsToVoters #voteblue #unverified save $8",9001,9829,19-May-23,9:00 AM,Mississippi,,21866,795,48,431,431,795,48,FALSE,
1991,15-Apr-23,11:46AM,http://twitter.com/clairecmc/statuses/1647265238448844801, @MSNBC: Good job @PeterforMO (he was also the one who pointed out that Sen Mike Moon voted to allow 12 year olds to marry in MO). Thanks for standing strong for the majority of Missourians. ; “It’s straight out of a dystopian novel.” Missouri State Rep. Peter Merideth blasts GOP lawmakers for their new efforts to defund libraries after pushback over book bans.   /iuXx4Cvalo   /MYJmlHviMw,@clairecmc,United States,English,795644,1457,7359.71,Positive,"bans,dystopian novel,libraries after pushback over book,new efforts",(book OR books) NEAR (ban OR banned OR banning OR ban,"book,bans",10,"""1647265238448844801""","""16160352""",Twitter for iPad,Claire McCaskill,http://www.twitter.com/clairecmc,"Former bunch of stuff including Senator from Missouri, currently @NBCNews and @MSNBC analyst, professional grandmother.",795644,276,15-Apr-23,11:46 AM,Missouri,,45192,1146,33,272,278,1146,33,TRUE, //twitter.com/MSNBC/statuses/1647259315403730944
2103,2-Apr-23,03:07PM,http://twitter.com/WildPalmsLtd/statuses/1642604610480136198,"Not satisfied with piecemeal book bans, MO Republicans have voted to defund the state's public libraries. They propose zero dollars in their budget. #DemVoice1 #ResistanceUnited #ProudBlue #wtpBLUE #ONEV1   /Omvbj3eBJn",@WildPalmsLtd,Unknown,English,20084,1098,185.78,Negative,"book,budget,dollars,public libraries",(book OR books) NEAR (ban OR banned OR banning OR ban,"book,bans",8,"""1642604610480136198""","""3856305322""",Twitter for Android,𝕃𝕠𝕔𝕦𝕥𝕦𝕤 𝕠𝕗 𝔹𝕠𝕣𝕘™,http://www.twitter.com/WildPalmsLtd,"""Answer not a fool according to his own folly lest thou also be like him.""",20084,17132,2-Apr-23,3:07 PM,,,15976,463,107,469,528,463,107,FALSE,
2144,2-Mar-23,08:17PM,http://twitter.com/Esqueer_/statuses/1631463766259793920,@SenateCaucus @RavBogard @MissouriGOP The worlds first gender affirming care clinic was burned down by the Nazis. It's literally in the holocaust museum. Read a book sometime before you ban them all.   /dpqyRqzaxE   /f9akHcrXsz,@Esqueer_,United States,English,122908,1424,1136.9,Negative,"book,care clinic,first gender,worlds",(book OR books) NEAR (ban OR banned OR banning OR ban,"book,ban",10,"""1631463766259793920""","""409389074""",Twitter for Android,Alejandra Caraballo,http://www.twitter.com/Esqueer_,"Wise Latina 🇵🇷. Clinical Instructor, Harvard Law Cyberlaw Clinic. Gender & Tech. 'Alleged expert' - Elon Musk. Bylines @Wired, @Slate. Views = my own.",122908,1276,2-Mar-23,8:17 PM,Massachusetts,Cambridge,17615,1252,5,167,167,1252,5,TRUE,http://twitter.com/SenateCaucus/statuses/1631053786671206418
2322,15-Apr-23,11:23AM,http://twitter.com/MSNBC/statuses/1647259315403730944,“It’s straight out of a dystopian novel.” Missouri State Rep. Peter Merideth blasts GOP lawmakers for their new efforts to defund libraries after pushback over book bans.   /iuXx4Cvalo   /MYJmlHviMw,@MSNBC,Unknown,English,5024232,1175,46474.15,Negative,"bans,dystopian novel,libraries after pushback over book,new efforts",(book OR books) NEAR (ban OR banned OR banning OR ban,"book,bans",10,"""1647259315403730944""","""2836421""",Wildmoka,MSNBC,http://www.twitter.com/MSNBC,"The place for in-depth analysis, political commentary and diverse perspectives. Home of @MSNBCDaily.",5024232,790,15-Apr-23,11:23 AM,,,120406,691,203,260,281,691,203,TRUE,
2388,20-May-23,11:30PM,http://twitter.com/MSNBC/statuses/1660125935658582017,"Nearly 1,500 instances of book-banning were charted across the U.S. in the first half of the 2022-23 school year, a new report finds, with bans most prevalent in Texas, Florida, Missouri, Utah, and South Carolina. (via The ReidOut Blog)   /mWNzhHde5Z",@MSNBC,Unknown,English,5038776,1032,46608.68,Negative,"book,first half,instances,new report",(book OR books) NEAR (ban OR banned OR banning OR ban,"book,banning",10,"""1660125935658582017""","""2836421""",trueanthem_1_9,MSNBC,http://www.twitter.com/MSNBC,"The place for in-depth analysis, political commentary and diverse perspectives. Home of @MSNBCDaily.",5038776,788,20-May-23,11:30 PM,,,293578,460,206,366,366,460,206,TRUE,
