index,Date,URL,Tweet,Influencer,Country,Language,Reach,Engagement,AVE,Sentiment,Key Phrases,Input Name,Keywords,Twitter Authority,Tweet Id,Twitter Id,Twitter Client,Twitter Screen Name,User Profile Url,Twitter Bio,Twitter Followers,Twitter Following,Alternate Date Format,Time,State,City,Views,Likes,Replies,Retweets,Shares,Reactions,Threads,Is Verified,Parent URL
3862,21-Jun-2023 04:44PM,http://twitter.com/AnnevanLeur/statuses/1671620080067592193," @justinbaragona: THIS IS WHAT HAPPENS WHEN BOOKS ARE BANNED. ; Trump claims that 150 years ago, China ""was taken over by much lesser countries because they were all drugged out on the opium"" and then ""things happened and they had strong leadership and they put in the death penalty.""   /Fel6QdebMM",@AnnevanLeur,United States,English,6520.0,671,60.31,Negative,"BOOKS,Trump claims,death penalty,much lesser countries,strong leadership",(book OR books) NEAR (ban OR banned OR banning OR ban,"BOOKS,BANNED",7.0,"""1671620080067592193""","""1003777482""",Twitter Web App,Annie van Leur,http://www.twitter.com/AnnevanLeur,Ansje van Leur Existentialist. Biocentrist. Thalassophile. U of MI alum Happiness is wind direction & water under the bridge. Followed by Hakeem Oluseyi,6520.0,3120.0,21-Jun-23,4:44 PM,Michigan,Lake Michigan Beach,7835.0,368,186,117.0,117,368,186,False, //twitter.com/justinbaragona/statuses/1671287492044025858
3977,19-Jun-2023 10:17PM,http://twitter.com/CornellWBrooks/statuses/1670979092823396352," @librarycongress: Histories that can’t be banned Memories that won’t die #DeSantis and book banners can’t ban the 2,300 interviews with formerly enslaved people that were collected by the federal government—within the lifetime of people alive today (1936-1938). Read them as resistance👇🏾 ; 70+ years after the Civil War, the WPA Federal Writers' Project began interviewing elderly Americans who remembered being enslaved. This collection is at the Library & this narrative from Sarah Gudger, age 121, is just one amazing piece of it.   /RPpE96RzKD #Juneteenth   /t2I122D2Aq",@CornellWBrooks,Unknown,English,48113.0,576,445.05,Positive,"book banners,collection,elderly Americans,federal government,interviews,resistance",(book OR books) NEAR (ban OR banned OR banning OR ban,"book,ban",9.0,"""1670979092823396352""","""512225400""",Twitter for iPhone,Rev. & Prof. Cornell William Brooks🟧,http://www.twitter.com/CornellWBrooks,"Prof., Harvard Kennedy School; Vis. Prof., Harvard Divinity ; Dir. @harvard_trotter; Min.; Attny; & 18th NAACP pres. & CEO.For speaking: http://unitedtalent.com",48113.0,9128.0,19-Jun-23,10:17 PM,,,39205.0,378,13,181.0,185,378,13,False, //twitter.com/librarycongress/statuses/1670748497107189761
4027,25-Mar-2023 11:14AM,http://twitter.com/RepDeanPhillips/statuses/1639646909596942338,"Yesterday I voted against #HR5. Parents must play a role in their children’s education, but banning books and softening complicated history is antithetical to freedom and liberty. Let’s teach American youth HOW to think and allow them to decide WHAT to think.",@RepDeanPhillips,United States,English,63237.0,702,584.94,Negative,"books,children,complicated history,education,liberty,role",(book OR books) NEAR (ban OR banned OR banning OR ban,"banning,books",9.0,"""1639646909596942338""","""1061310112013434882""",Twitter for iPhone,Rep. Dean Phillips 🇺🇸,http://www.twitter.com/RepDeanPhillips,"“Normally affable” - @NYTimes. Eternal optimist, radical pragmatist, common sense enthusiast, common ground seeker, and bipartisan believer.",63237.0,2009.0,25-Mar-23,11:14 AM,Minnesota,Minneota,20183.0,578,74,50.0,50,578,74,True,
4057,08-Nov-2023 06:57PM,http://twitter.com/GeauxGabrielle/statuses/1722403022175642009, @guardian: WHAT DID I SAY? I know they banning books but learn from history y’all. Don’t put your name on ANYTHING at or related to these marches. They gonna give that shit to the Feds. ; Tell us: will you be taking part in the pro-Palestine Armistice Day march?   /vQfm8WhGNG,@GeauxGabrielle,United States,English,26406.0,744,244.26,Negative,"books,history,name",(book OR books) NEAR (ban OR banned OR banning OR ban,"banning,books",9.0,"""1722403022175642009""","""928975937273847809""",Twitter for iPhone,"Gabrielle A. Perry, MPH",http://www.twitter.com/GeauxGabrielle,Founder @ThurmanPerryFDN | Political Commentator | Epidemiologist | Words: @WashingtonPost @Refinery29 @PrismReports @POPSUGAR | @GeauxGab | Beyoncé Approved,26406.0,722.0,8-Nov-23,6:57 PM,Louisiana,New Orleans,18355.0,541,2,201.0,201,541,2,False, //twitter.com/guardian/statuses/1722230738714874215
4074,17-May-2023 12:19PM,http://twitter.com/emteehall/statuses/1658869822787325953," @PENamerica: WHEN WE SAY DO SOMETHING THIS IS WHAT WE MEAN ; 🧵PEN America Files Lawsuit against Florida School District over Unconstitutional Book Bans Lawsuit joined by @penguinrandom, parents, and authors asserts that Escambia County School Board unlawfully removes or restricts access to books about race, racism, and LGBTQ identities.   /9FFps68Gd6",@emteehall,United States,English,10691.0,620,98.89,Negative,"LGBTQ identities,Unconstitutional Book,access to books,authors,parents,race",(book OR books) NEAR (ban OR banned OR banning OR ban,"Book,Bans",8.0,"""1658869822787325953""","""344199150""",Twitter for iPhone,maggie tokuda-hall,http://www.twitter.com/emteehall,"Preorder The Siren, The Song and the Spy now! Author of a buncha books, some for little kids some for teens. Cohost @FailureAdapt. Toast enthusiast. she/her",10691.0,2092.0,17-May-23,12:19 PM,California,Oakland,29577.0,500,2,118.0,118,500,2,False, //twitter.com/PENamerica/statuses/1658835073548836868
4225,12-Jun-2023 08:38AM, //twitter.com/PENamerica/statuses/1668236358811369474,"""WHAT'S AT STAKE when we talk about book bans is student learning and well-being,"" writes PEN America's @jonfreadom in @USATODAY. ""Semantic gymnastics about what is or isn’t a ban is an effort to deny and distract from the problem."" #BannedBooks #Reading   /Oey0Z2laeR",@penamerica,United States,English,153099.0,527,1416.17,Negative,"Semantic gymnastics,book,effort,problem,student",(book OR books) NEAR (ban OR banned OR banning OR ban,"book,bans",10.0,"""1668236358811369474""","""15469000""",Twitter Web App,PEN America, //twitter.com/PENamerica,We stand at the intersection of literature and human rights to protect open expression in the U.S. and worldwide. Support at:  //pen.org/fightbookbanswpen/,153099.0,9189.0,12-Jun-23,8:38 AM,New York,New York City,61404.0,309,25,180.0,193,309,25,False,
4419,18-Jul-2023 06:00AM,http://twitter.com/FoxNews/statuses/1681242451829219328,Barack Obama kicks off TikTok campaign defending 'banned books:' 'Librarians are on the front lines'   /WYATkBmWNm,@FoxNews,United States,English,23974432.0,672,221763.5,Negative,"books,front lines",(book OR books) NEAR (ban OR banned OR banning OR ban,"banned,books",10.0,"""1681242451829219328""","""1367531""",SocialFlow,Fox News,http://www.twitter.com/FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. http://foxnews.com/contact",23974432.0,262.0,18-Jul-23,6:00 AM,,,141343.0,160,450,37.0,62,160,450,True,
4778,18-Mar-2023 03:17AM,http://twitter.com/TabitaSurge/statuses/1636990159244738560,"The Daily Mail has seen how much momentum school library purges and anti-LGBT+ book banning are getting in the USA, and wants in on the action: DO YOU KNOW WHAT'S IN YOUR CHILD'S LIBRARY? The school in question is The American School. This is a literally imported culture war   /Ad1UJOtRWW",@TabitaSurge,Unknown,English,16459.0,502,152.25,Negative,"CHILD,LIBRARY,action,book,literally imported culture war,much momentum school library,school in question",(book OR books) NEAR (ban OR banned OR banning OR ban,"book,banning",8.0,"""1636990159244738560""","""4241411909""",Twitter Web App,Tabitha McIntosh,http://www.twitter.com/TabitaSurge,"Researcher, English teacher, KS5 Lead. Stroke-surviving, insulin injecting & avoiding pens thrown in class. She/her. @tabitasurge@mstdn.social",16459.0,8551.0,18-Mar-23,3:17 AM,,,138942.0,367,26,109.0,109,367,26,False,
5609,20-Aug-2023 05:11PM,http://twitter.com/nickheartstpper/statuses/1693370298513408120," @NoLieWithBTC: people saying this is karma for the type of story heartstopper is is so weird. you are not helping at all. if you seriously think that conservatives give a fuck about online discourse or even the content when they ban queer books ur stupid. they don’t even read them. ; A Mississippi public library just removed “Heartstopper,” a popular coming-of-age romantic comedy series, after MAGA activists claimed “homosexuals” are using the gay teen love story “to recruit your kids.” “If the Bible says it’s wrong, it’s wrong.” 🔗  /QtHuregA0L   /rdwOW7AHHB",@nickheartstpper,Unknown,English,17781.0,502,164.47,Negative,"content,gay teen love story,homosexuals,kids,maga activists,queer books,romantic comedy series,type of story heartstopper",(book OR books) NEAR (ban OR banned OR banning OR ban,"ban,books",8.0,"""1693370298513408120""","""1403492807843762176""",Twitter for iPhone,gecko 𓆈,http://www.twitter.com/nickheartstpper,nick nelson advocate,17781.0,2232.0,20-Aug-23,5:11 PM,,,10033.0,461,3,38.0,38,461,3,False, //twitter.com/NoLieWithBTC/statuses/1692645639610364301
5645,15-Nov-2023 06:01PM,http://twitter.com/FavoriteTeach11/statuses/1724925660299178176," @Pink: Pink has decided to come to Florida to pass out ""banned"" books. Who's wants to tell her? The fact that she doesn't know that we can literally walk in any book store in Florida to purchase WHATEVER BOOK WE WANT further confirms that celebrities should never be taken seriously. ; The Hate You Give – Florida (multiple school districts), Texas, Missouri, Nebraska, New York, North Dakota, Pennsylvania, Illinois, Kansas, Mississippi, Oklahoma, Tennessee, Utah",@FavoriteTeach11,United States,English,45737.0,498,423.07,Negative,"book,celebrities,multiple school districts",(book OR books) NEAR (ban OR banned OR banning OR ban,"banned,books",9.0,"""1724925660299178176""","""1384115149007585286""",Twitter for Android,Black. Conservative. Educator. Independent Thinker,http://www.twitter.com/FavoriteTeach11,My focus is to empower students. I tweet about ways I'm doing this in my classroom.,45737.0,610.0,15-Nov-23,6:01 PM,Florida,Florida Ridge,13215.0,429,24,41.0,41,433,24,False, //twitter.com/Pink/statuses/1724653975700455512
5719,20-Jun-2023 12:00PM,http://twitter.com/jennycohn1/statuses/1671186343454715905," @BucksCoBeacon: “PEN America identified M4L as leading the nation’s book ban movement. In one case M4L sought to ban 2 second grade books, Martin Luther King Jr. & the March on Washington & The Story of Ruby Bridges, a book about a 6-year-old African American girl who integrated… 1/ ; Moms For Liberty’s ‘Joyful Warriors’ Actually Make Life Joyless for Communities With Their Hate & Rage | The group riles up right-wing parents with misinformation, fear-mongering & bigotry in order to weaponize them in its war on secular public education.   /3Hk2PSBqJK",@jennycohn1,Unknown,English,232388.0,356,2149.59,Positive,"book ban movement,group,misinformation, fear-mongering & bigotry,second grade books,secular public education",(book OR books) NEAR (ban OR banned OR banning OR ban,"book,ban,books",10.0,"""1671186343454715905""","""4541535439""",Twitter for iPhone,jennycohn@toad.social ✍🏻 📢,http://www.twitter.com/jennycohn1,I write about elections & Christian Nationalism 4 @buckscobeacon; Spoutible = @jennycohn; Mastodon = jennycohn@toad.social; Donate: http://ko-fi.com/jennycohn1,232388.0,14368.0,20-Jun-23,12:00 PM,,,15802.0,214,7,135.0,135,214,7,False, //twitter.com/BucksCoBeacon/statuses/1671125754980233217
5986,19-May-2023 04:47PM,http://twitter.com/4lisaguerrero/statuses/1659661977936072704,"Buy books, don’t ban books. ✊🏽 Thank you @villagewellcc for carrying WARRIOR: MY PATH TO BEING BRAVE 💛   /laWXoP7WlA",@4lisaguerrero,United States,English,84807.0,431,784.46,Positive,"WARRIOR,ban books",(book OR books) NEAR (ban OR banned OR banning OR ban,"books,ban",10.0,"""1659661977936072704""","""265705962""",Twitter for iPhone,Lisa Guerrero 💃🏽,http://www.twitter.com/4lisaguerrero,"Award Winning Investigative Journalist: INSIDE EDITION, Author: WARRIOR: MY PATH TO BEING BRAVE (Out Now), Host: SECRETS OF PLAYBOY, Keynote Speaker, Latina ✊🏽",84807.0,12837.0,19-May-23,4:47 PM,California,Los Angeles,9811.0,375,22,31.0,34,375,22,False,
6149,08-May-2023 08:05AM,http://twitter.com/lance_cotten/statuses/1655544442579828736,We’ve Banned Black History Books…Books never killed anyone! We’ve banned Drag shows… Drag shows never killed anyone! We’ve banned the word gay… The word gay never killed anyone! BUT WE CANT SEEM TO BAN ASSAULT WEAPONS THAT ARE KILLING PEOPLE! MAKE THIS MAKE SENSE AMERICA 🇺🇸…   /AIMdwDoQhZ,@lance_cotten,United States,English,26269.0,338,242.99,Negative,"ASSAULT WEAPONS,shows,word",(book OR books) NEAR (ban OR banned OR banning OR ban,"Banned,Books",8.0,"""1655544442579828736""","""4774966523""",Twitter for iPhone,Lance Cotten,http://www.twitter.com/lance_cotten,#blueparty host #Dems4Rights #bluecrew #soffiehealth #mentalHealthawareness🚫 MAGA🚫DM’s @1drcole @mmpadellan @getyourfoxyback #IFB notifications 🔔 on,26269.0,22153.0,8-May-23,8:05 AM,New York,New York City,5774.0,209,18,111.0,111,209,18,True,
6201,31-Aug-2023 11:53PM,http://twitter.com/ResisterSis20/statuses/1697457737452355846,"What are you gonna do when they come for you? They are diverse, smart as hell, angry, and motivated. They are pro choice and anti gun. They are Gay, Straight, Trans, and Bi. In 2024, GenZ will vote out candidates who ban books, wont protect the environment, and believe in…   /okrWSAD8Dj",@ResisterSis20,Unknown,English,150174.0,444,1389.11,Negative,"anti gun,environment,hell,out candidates,pro choice",(book OR books) NEAR (ban OR banned OR banning OR ban,"ban,books",10.0,"""1697457737452355846""","""328756439""",Twitter for iPad,Southern Sister Resister - Wordsmith #IAmTheStorm,http://www.twitter.com/ResisterSis20,"I am a Reader, Writer, Thinker, Teacher, Friend to few, Lover to one, Hated by some…Blood and Bone Woman.",150174.0,86814.0,31-Aug-23,11:53 PM,,,4331.0,298,18,128.0,128,298,18,True,
6372,09-Apr-2023 03:57PM,http://twitter.com/TheRealThelmaJ1/statuses/1645153931595751424,"HAPPY EASTER TO EVERYONE INCLUDING THE CROOKED ARIZONA GOP WHO WANT TO DESTROY OUR BEAUTIFUL STATE,BAN BOOKS,TAKE AWAY WOMENS RIGHTS ALLOW GUNS EVERYWHERE. THESE WEAK & PATHETIC GOP DRONES WHO LOVE PRIVATE PRISONS & ATTACK THE VULNERABLE ARE DESTROYING OUR NATION. ENJOY YOUR HAM",@TheRealThelmaJ1,United States,English,2600.0,395,24.05,Negative,"BAN BOOKS,GUNS,NATION,PATHETIC GOP DRONES,PRIVATE PRISONS",(book OR books) NEAR (ban OR banned OR banning OR ban,"BAN,BOOKS",6.0,"""1645153931595751424""","""1022607863703732224""",Twitter Web App,TheRealThelmaJohnson,http://www.twitter.com/TheRealThelmaJ1,MeeMaw,2600.0,2394.0,9-Apr-23,3:57 PM,Minnesota,Saint Paul,7441.0,325,34,33.0,36,325,34,False,
6512,13-Oct-2023 05:58PM,http://twitter.com/DigitalWarfare1/statuses/1712950888019710367," @jamestalarico: Every time I hear him speak, I am more and more impressed. The future of the democratic party is bright #DemVoice1 #ProudBlue #Fresh #WeAreBlue1 ; Two billionaire mega-donors are trying to dismantle public education in Texas. Voucher scams, book bans, CRT scares — it’s all part of their plan to close our neighborhood schools. I explained their strategy in a community meeting… #txlege   /rqsNJqkIFG",@DigitalWarfare1,United States,English,6361.0,420,58.84,Neutral,"billionaire,book,community meeting,democratic party,future,mega-donors,neighborhood schools,plan,public education,strategy,voucher scams",(book OR books) NEAR (ban OR banned OR banning OR ban,"book,bans",7.0,"""1712950888019710367""","""1490772343161073670""",Twitter for iPhone,🇺🇸 Digital Warrior 🇺🇸 Real Patriot Not MAGA,http://www.twitter.com/DigitalWarfare1,"Democracy's digital guardians 🌐 | Amplifying truth, silencing extremism | Join the movement ➡️:  //koji.to/k/8TB0",6361.0,1433.0,13-Oct-23,5:58 PM,,,10572.0,262,8,150.0,150,262,8,False, //twitter.com/jamestalarico/statuses/1712948847188517223
6643,21-Feb-2023 10:27AM,http://twitter.com/VickieBluewave/statuses/1628053701591187456," @inflictions3: Please keep this code going to fight against banning books. ; @CTaylor_711 @MariaAragon64 @MargaretAtwood @jodipicoult @StephenKing @SIfill_ Libraries hold the keys to our future, because they hold the facts of our past. Librarians are defenders of freedom of imagination & education. Together those from 1 to 100 are able to find solace, to escape reality, or build a better life. There's a reason they're under attack.   /vWgAksnB5U",@VickieBluewave,United States,English,6571.0,273,60.78,Negative,"attack,better life,books,code,defenders of freedom of imagination,education,future,keys,reality,reason",(book OR books) NEAR (ban OR banned OR banning OR ban,"banning,books",7.0,"""1628053701591187456""","""3885806474""",Twitter for iPad,Vickie Turner,http://www.twitter.com/VickieBluewave,"Wife,Mom,Grandma,Democrat 🌊🌊🌊#Resist #BlueWave2024 No🚫DMs",6571.0,6961.0,21-Feb-23,10:27 AM,California,California City,6696.0,132,3,138.0,138,132,3,False, //twitter.com/inflictions3/statuses/1625569019695665152
6659,13-Sep-2023 01:13AM,http://twitter.com/iluminatibot/statuses/1701826298736226810,"Everything You Need To Know But Have Never Been Told gives you a hard look down the rabbit hole, and boy, it's a deep one. David Icke's book is massive with over 700 pages of crucial information. Don't be surprised if this book gets banned eventually:   /veMb2wc0N5 #ad   /FaonW6AiN7",@iluminatibot,Unknown,English,1316336.0,409,12176.11,Negative,"book,crucial information,david icke's book,hard look,pages",(book OR books) NEAR (ban OR banned OR banning OR ban,"book,banned",10.0,"""1701826298736226810""","""3376321847""",illuminatibot,illuminatibot,http://www.twitter.com/iluminatibot,"The Illuminati, The NWO, The Occult, Symbolism, Truth. As an Amazon Associate I earn from qualifying purchases. Business inquiries: illuminatibis@protonmail.com",1316336.0,848.0,13-Sep-23,1:13 AM,,,44472.0,312,18,79.0,79,312,18,True,
6939,09-Aug-2023 11:29AM,http://twitter.com/jenniferlagarde/statuses/1689297795210186752," @OlympiaJoe: This isn’t about books. It’s about disenfranchising and marginalizing vulnerable people. “For many ppl in this county the library has the ONLY WiFi, computers for Internet access … and it is the ONLY place for young ppl to have any access at all to books...” ; Forget banning books — a rural WA county may close its library- After a fight over LGBTQ+ young-adult titles, a November ballot measure will decide the fate of the only library in Columbia County. (via @Crosscut)   /VPjeFDudng #waelex #politics",@jenniferlagarde,United States,English,35246.0,388,326.03,Negative,"access,books,county,fate,library,rural WA county,young ppl,young-adult titles",(book OR books) NEAR (ban OR banned OR banning OR ban,"banning,books",9.0,"""1689297795210186752""","""120184545""",Twitter for iPhone,Library Girl,http://www.twitter.com/jenniferlagarde,"She/Her. Teacher, learner, rabble rouser. Part-time zombie slayer. Co Author: Fact VS Fiction (2018 ) Developing Digital Detectives (2021). My tweets. My rules.",35246.0,2820.0,9-Aug-23,11:29 AM,Missouri,Pacific,15306.0,250,6,131.0,132,250,6,False, //twitter.com/OlympiaJoe/statuses/1689295870259326978
6991,22-Jan-2023 09:55AM,http://twitter.com/Fernand46357857/statuses/1617174054242328578,BILLIONAIRES AND WEALTHY CORPS. KEEP FUNDING THE G.O.P. IN ORDER TO RETAIN THEIR POWER AND G.O.P. IN TURN BANS BOOKS AND DEFUNDS EDUCATION TO MAKE VOTERS STUPID AND SUPPORTIVE OF THE PARTY AND THE WEALTHY CLASS THAT EXPLOITS THEM.   /sBXRCrzzZf,@Fernand46357857,Unknown,English,50764.0,289,469.57,Negative,"BILLIONAIRES,PARTY,POWER,VOTERS,WEALTHY CLASS",(book OR books) NEAR (ban OR banned OR banning OR ban,"BANS,BOOKS",9.0,"""1617174054242328578""","""1244663153872560129""",Twitter for iPhone,"Fernando Oliver, Esq.",http://www.twitter.com/Fernand46357857,"Indict Trump, Stop DeSantis, Resist, BLM, FBR, Biden, , Attorney, Professor, Historian, Love: classical art, music, opera, philosophy, theology, 🇵🇷",50764.0,50475.0,22-Jan-23,9:55 AM,,,,187,5,,97,187,5,False,
